Row Labels;Sum of q2_gms
32656553412;
32656765012;164444.57
32656845012;85472.79
32656944112;1048
32657333812;1144373.84
32657375412;
32657887212;3125.01
32658049912;8416
32658430312;39114.51
32658893712;16994.8
32658905012;391.9
32658982512;5032
32659314112;39041.06
32659501012;1467
32659521412;2771.98
32659874812;3546.64
32659907412;
32659980012;32676.93
32660056212;1204
32660132812;13311.75
32660294512;2679.99
32660545212;7303.74
32660648912;
32660652512;
32660734712;1929
32660737812;72213.87
32660770412;52311.22
32660772512;25
32661023612;7245
32661162112;97878.26
32661353012;
32661508112;1959
32661584312;2034
32661653312;1755
32661785512;9671
32661907212;58824.05
32661953912;5554.4
32662316212;5
32662445112;7475.52
32662615912;15822.93
32662849012;2648
32662894912;2382.83
32663037912;2457
32663070212;-21117.1
32663137112;17155.32
32663255512;5700.95
32663272212;19251.96
32663328312;7293.63
32663355212;1849.7
32663626412;3430.5
32664020112;17989.96
32664048812;1655
32664158712;36
32664383312;712.5
32664534312;4337.81
32664557312;1347
32664736712;1677.9
32664854512;1924
32665334912;255045.94
32665441812;1599
32665597912;2972.9
32665892712;499.9
32665961912;1039270.48
32666045812;103487.35
32666063412;10550.37
32666537212;140720.91
32666587212;375045.78
32666666812;
32666709712;6322.82
32666855612;45794.8
32667385912;1798
32667431712;211692.79
32667510212;3719.94
32667928512;21518.46
32667979812;22373.37
32667981212;105862.76
32668194512;314870.53
32668333612;6849.5
32668347912;40291.24
32668636412;1199.7
32668639212;
32668845612;37133.37
32669171312;176876.88
32669399412;17935.7
32669459012;1283
32669515712;3
32669532312;799
32669564412;41386.81
32669674012;178056.82
32669709012;834.02
32670192612;
32670442512;
32670558712;118
32670625412;8346
32670814812;1484.5
32670984612;64
32671262812;11679.97
32671264712;
32671321412;
32671415812;15
32671525512;
32671539212;149161.05
32671568612;56712.3
32671587612;
32671899112;335
32671933812;
32672088312;2
32672125212;31.57
32672144012;7519.91
32672427012;7294.39
32672836012;349162.35
32673024212;289
32673027312;2249.8
32673523312;19082.19
32673724412;17861.19
32673923612;738.99
32674044312;646699.7
32674175912;21681.1
32674392312;116
32674546012;3288.64
32674790012;25862.04
32675012412;2452
32675035712;325
32675504612;1359
32675635612;-2164.1
32675856712;6354.96
32676024212;
32676551312;6624
32676563012;526.25
32676625912;291.49
32676806612;5712.29
32676820412;6525
32677112912;185220.22
32677153412;2505
32677226612;599.99
32677497712;3
32677615912;96626.39
32677738812;5099.89
32678090312;2604.6
32678458512;1257
32678550612;299.99
32678649312;1299
32678880012;15527.24
32678911812;195
32679157012;11385.83
32679173412;3010.88
32679367712;87389.65
32679766412;247
32679829012;4609.89
32679871612;235
32679928712;3219.88
32679952712;2324.47
32680043312;19971.94
32680124512;6494.84
32680291012;211332.14
32680792412;9303.9
32680884412;5397.3
32681202712;70796.04
32681709312;7395
32681753612;2763.3
32682079212;429.5
32682149012;8195
32682255812;1353
32682586412;-340
32682943512;7186.66
32682978812;695
32683109212;
32683147612;2149.27
32683156612;13671.14
32683364712;3
32683694212;61
32683728412;10034.35
32684036912;661738.87
32684052412;28334.81
32684203712;
32684207412;11599.7
32685202212;82211.27
32685634812;31224.9
32686047912;5860.3
32686606712;
32686766412;54892.22
32687073112;8852.8
32687793412;3896.09
32688076612;756.24
32688120712;47128.28
32688130112;17562104.04
32688753512;3447
32688911312;195
32689544212;849.99
32689923012;
32689933712;4265.99
32690034612;594.15
32690704912;8759.69
32690774612;894.8
32690996312;7487.03
32691024212;312
32691260412;564
32691317912;3548.5
32691562812;10856.17
32691672612;
32691934912;1492.77
32691999912;7824.11
32692005912;48816.6
32692072612;16582.59
32693120112;1624.05
32693303412;4387.8
32693864112;13487.74
32694245212;12946.4
32695929912;4838.14
32696009812;16828.9
32696028512;2639
32696598212;35363.7
32696659812;4004.9
32696986712;1149.95
32698187612;3
32698349112;3024
32699372012;1634
32699884612;8700.8
32700281512;
32701144012;199.9
32701392212;17931.35
32702608012;33272.35
32702698512;2946
32703608712;425
32703983312;4198
32704317612;37
32704756612;8158.39
32705908612;4944.76
32707210112;915.77
32707367612;145804.26
32707792112;235
32708035312;299.9
32708038112;10157.63
32708522912;786.22
32708882712;237172.1
32709066812;16551.84
32709189612;12298.1
32710195112;13206.26
32710536712;13611.99
32711267812;112121.8
32711666412;2635.75
32711893512;149.9
32713660912;773
32713732712;1319.7
32715340812;
32716976712;265357.2
32717599912;
32717965012;
32730895912;227074.93
32735635012;13617.97
32736896212;5613
32739733712;9517.87
32741791912;1247
32748996812;2554.8
32755346912;1086.03
32756441212;39
32777259912;1424
32777876412;699
32778112912;3578
32778113312;21894.06
32780206912;12
32781459112;-1799.99
32782993312;12
32784864412;22231.24
32786291512;7984
32787373012;139927.22
32787446212;31723.3
32787838012;1115
32788156712;26944.8
32788403812;11814.55
32790054712;57
32792066412;1159.6
32792561812;17041.25
32792957012;1234.75
32793097412;3470.55
32794612412;
32794828212;41010.26
32797803812;
32798083312;5178.98
32798151712;2176.38
32798280912;449
32798451112;1198.98
32799074412;10826.31
32799170612;315
32799336412;12678.73
32799377812;598
32799543912;48244.62
32800265212;
32800579012;
32800971912;3015
32801819712;21071.75
32802048812;29163.58
32802228812;9244
32802448812;18956.25
32803510612;12911.14
32804042512;
32804465212;3087
32804777612;499.97
32805593312;17149.17
32805991212;6663
32806126812;20994.66
32806708012;2225.4
32807167812;63195.74
32807474012;80391.06
32808747312;1177.68
32810595512;5313
32811030412;88353.93
32811765912;1665
32814891312;299.99
32815579112;54
32815813712;598
32817581912;37258.32
32819270912;89
32820166012;3130551.81
32823222912;1889.6
32850468912;18
32854057112;1683.9
32857496312;10393.61
32858203612;52
32858754012;31657.05
32858817412;63815.29
32859384312;575
32862129912;999.8
32864086012;-4376.83
32864813012;4565
32865621412;34
32866271412;728.85
32866292812;325
32869083412;2789
32870963812;33314.11
32872311712;5199.6
32872340712;1713.9
32872602112;399.9
32874025012;2349.9
32874179712;41556.58
32878932212;1259.85
32879563712;5536
32879828212;499.99
32880139012;
32881773512;6734
32884326912;246
32885833412;2175
32886774012;299
32889127612;409
32889678712;548305.58
32890755412;960.45
32902087812;19592.08
32904799012;10768.56
32904904512;
32905101412;11594.9
32905527212;3835
32917685412;
32918337012;399.99
